text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
green,1,down,green,0,0,0,2,down,1,0.650315999985,2014_Oct_05_1701,60.0002288827,stroop,01,8,
blue,0,left,red,0,1,1,5,left,1,1.11726999283,2014_Oct_05_1701,60.0002288827,stroop,01,8,
green,0,right,blue,0,2,2,3,right,1,0.467169046402,2014_Oct_05_1701,60.0002288827,stroop,01,8,
red,1,left,red,0,3,3,0,left,1,0.500288963318,2014_Oct_05_1701,60.0002288827,stroop,01,8,
red,0,down,green,0,4,4,1,down,1,0.700847864151,2014_Oct_05_1701,60.0002288827,stroop,01,8,
blue,1,right,blue,0,5,5,4,right,1,0.517044067383,2014_Oct_05_1701,60.0002288827,stroop,01,8,
red,0,down,green,1,0,6,1,down,1,0.550856113434,2014_Oct_05_1701,60.0002288827,stroop,01,8,
green,1,down,green,1,1,7,2,down,1,0.517477035522,2014_Oct_05_1701,60.0002288827,stroop,01,8,
red,1,left,red,1,2,8,0,left,1,0.650446891785,2014_Oct_05_1701,60.0002288827,stroop,01,8,
blue,0,left,red,1,3,9,5,left,1,0.96735906601,2014_Oct_05_1701,60.0002288827,stroop,01,8,
green,0,right,blue,1,4,10,3,right,1,0.600726127625,2014_Oct_05_1701,60.0002288827,stroop,01,8,
blue,1,right,blue,1,5,11,4,right,1,0.500221967697,2014_Oct_05_1701,60.0002288827,stroop,01,8,
blue,0,left,red,2,0,12,5,left,1,0.633793115616,2014_Oct_05_1701,60.0002288827,stroop,01,8,
red,0,down,green,2,1,13,1,down,1,0.366818904877,2014_Oct_05_1701,60.0002288827,stroop,01,8,
green,1,down,green,2,2,14,2,down,1,0.40073800087,2014_Oct_05_1701,60.0002288827,stroop,01,8,
red,1,left,red,2,3,15,0,left,1,0.467531919479,2014_Oct_05_1701,60.0002288827,stroop,01,8,
blue,1,right,blue,2,4,16,4,right,1,0.367180109024,2014_Oct_05_1701,60.0002288827,stroop,01,8,
green,0,right,blue,2,5,17,3,left,0,0.967034101486,2014_Oct_05_1701,60.0002288827,stroop,01,8,
green,0,right,blue,3,0,18,3,right,1,0.834061145782,2014_Oct_05_1701,60.0002288827,stroop,01,8,
blue,0,left,red,3,1,19,5,left,1,0.550616979599,2014_Oct_05_1701,60.0002288827,stroop,01,8,
red,0,down,green,3,2,20,1,down,1,0.450537919998,2014_Oct_05_1701,60.0002288827,stroop,01,8,
green,1,down,green,3,3,21,2,down,1,0.467396020889,2014_Oct_05_1701,60.0002288827,stroop,01,8,
red,1,left,red,3,4,22,0,left,1,0.750381231308,2014_Oct_05_1701,60.0002288827,stroop,01,8,
blue,1,right,blue,3,5,23,4,right,1,0.467161893845,2014_Oct_05_1701,60.0002288827,stroop,01,8,
green,0,right,blue,4,0,24,3,right,1,0.567285060883,2014_Oct_05_1701,60.0002288827,stroop,01,8,
red,0,down,green,4,1,25,1,down,1,0.417338132858,2014_Oct_05_1701,60.0002288827,stroop,01,8,
blue,0,left,red,4,2,26,5,left,1,0.650668144226,2014_Oct_05_1701,60.0002288827,stroop,01,8,
red,1,left,red,4,3,27,0,left,1,0.43377494812,2014_Oct_05_1701,60.0002288827,stroop,01,8,
blue,1,right,blue,4,4,28,4,right,1,0.350584030151,2014_Oct_05_1701,60.0002288827,stroop,01,8,
green,1,down,green,4,5,29,2,down,1,0.383817195892,2014_Oct_05_1701,60.0002288827,stroop,01,8,
