sonido1,sonido2,correcto
bda0.wav,bda1.wav,z
bda1.wav,bda0.wav,z
bda0.wav,bda0.wav,m
bda1.wav,bda1.wav,m
bda0.wav,bda2.wav,z
bda2.wav,bda0.wav,z
bda0.wav,bda0.wav,m
bda2.wav,bda2.wav,m
bda0.wav,bda3.wav,z
bda3.wav,bda0.wav,z
bda0.wav,bda0.wav,m
bda3.wav,bda3.wav,m
bda1.wav,bda2.wav,z
bda2.wav,bda1.wav,z
bda1.wav,bda1.wav,m
bda2.wav,bda2.wav,m
bda1.wav,bda3.wav,z
bda3.wav,bda1.wav,z
bda1.wav,bda1.wav,m
bda3.wav,bda3.wav,m
bda1.wav,bda4.wav,z
bda4.wav,bda1.wav,z
bda1.wav,bda1.wav,m
bda4.wav,bda4.wav,m
bda2.wav,bda3.wav,z
bda3.wav,bda2.wav,z
bda2.wav,bda2.wav,m
bda3.wav,bda3.wav,m
bda2.wav,bda4.wav,z
bda4.wav,bda2.wav,z
bda2.wav,bda2.wav,m
bda4.wav,bda4.wav,m
bda2.wav,bda5.wav,z
bda5.wav,bda2.wav,z
bda2.wav,bda2.wav,m
bda5.wav,bda5.wav,m
bda3.wav,bda4.wav,z
bda4.wav,bda3.wav,z
bda3.wav,bda3.wav,m
bda4.wav,bda4.wav,m
bda3.wav,bda5.wav,z
bda5.wav,bda3.wav,z
bda3.wav,bda3.wav,m
bda5.wav,bda5.wav,m
bda3.wav,bda6.wav,z
bda6.wav,bda3.wav,z
bda3.wav,bda3.wav,m
bda6.wav,bda6.wav,m
bda4.wav,bda5.wav,z
bda5.wav,bda4.wav,z
bda4.wav,bda4.wav,m
bda5.wav,bda5.wav,m
bda4.wav,bda6.wav,z
bda6.wav,bda4.wav,z
bda4.wav,bda4.wav,m
bda6.wav,bda6.wav,m
bda5.wav,bda6.wav,z
bda6.wav,bda5.wav,z
bda5.wav,bda5.wav,m
bda6.wav,bda6.wav,m
